;1;3;4;15;19;20;22;23;25;26;40;42;43;44;50;55;56;59;61;64;66;71;73;74;76;78;79;80;81
1;0;0;0.004268;0.01541;0;0.00107;0;0.001579;0.001943;0.000664;0;0;0.001219;0.001892;0;0.002175;0.001265;0;0;0;0;0;0.001804;0;0;0.005472;0;0;0
3;0;0;0.006099;0.018057;0;0;0;0.002883;0.002308;0.001495;0;0.004379;0.001494;0.003351;0;0.004476;0.002082;0;0;0;0;0;0.002388;0.004733;0;0.008649;0;0;0.00514
4;0.002684;0.0064;0;0.084787;0.003317;0.010832;0.011528;0;0.009531;0;0.012688;0.017522;0.009266;0.010807;0;0;0;0;0;0;0;0;0.01042;0;0;0;0;0.038636;0.015974
15;0;0.013872;0.062294;0;0;0.023526;0;0;0.022823;0;0.032123;0;0.020056;0;0;0;0;0.021425;0.021357;0.025161;0;0.026918;0.031692;0;0;0;0;0.098519;0
19;0;0;0.005092;0.014715;0;0;0;0.002317;0.001847;0.001306;0;0;0.00158;0.001739;0.004113;0.003172;0.002473;0;0;0;0;0;0.001902;0;0.002964;0.006599;0;0;0
20;0;0;0;0.041729;0;0;0;0.004812;0.004343;0.003246;0;0.008294;0.003304;0;0.007312;0.007874;0.009023;0;0;0;0;0.004908;0.005329;0.007304;0.005902;0.017072;0.019208;0;0.008243
22;0;0.00358;0;0;0;0;0;0.004725;0;0;0;0;0.004194;0;0.007131;0;0;0.005904;0;0;0;0.005561;0;0.0074;0;0.018782;0.01825;0;0
23;0;0;0;0.045845;0.002709;0.005114;0.004219;0;0;0.003507;0;0.006694;0.004131;0.003887;0;0;0.007687;0;0.004279;0.004359;0.007175;0;0.004996;0;0;0;0;0.015555;0.007378
25;0.001418;0.001719;0.011484;0.048975;0.001555;0.006016;0.004947;0.004199;0;0.003323;0.005588;0.007566;0;0;0.006574;0;0.007823;0.00472;0.005073;0.005082;0.008239;0;0;0.006438;0.00705;0.016427;0.016404;0.018285;0.007044
26;0.001358;0.001582;0.011098;0;0.001606;0.003779;0;0;0.003419;0;0.004904;0.006609;0.002818;0.004546;0;0.007049;0.006929;0.004226;0.002541;0.00362;0.006032;0;0.005278;0;0;0;0.012215;0.013657;0.005241
40;0;0;0;0.049994;0;0;0;0.004804;0.005099;0.003395;0;0.009868;0.003614;0;0;0.008384;0.007919;0;0;0;0;0;0.004957;0;0;0.018194;0;0;0
42;0.002461;0.005024;0;0;0.002843;0.009128;0;0;0.006932;0.004728;0.009392;0;0.006242;0.006917;0;0.015073;0.012821;0.009016;0.007602;0.010231;0.013202;0.007132;0.010087;0.009677;0.011499;0.027731;0.027056;0;0.011431
43;0.001595;0.00209;0.009873;0.042883;0.001638;0.004556;0.003128;0.003249;0;0.002399;0.003343;0.006764;0;0;0.005287;0.00807;0.007461;0.004174;0.004488;0.003879;0;0;0;0.0047;0.005396;0;0.015707;0.015199;0.006151
44;0.001978;0.003115;0.014766;0;0.001684;0;0;0.004767;0;0.003428;0.007581;0.008764;0;0;0;0;0.00819;0.005706;0;0.005814;0.008248;0.005699;0.007476;0.007367;0.005535;0;0.016787;0.021097;0.006402
50;0;0;0;0;0;0.006972;0;0;0.004362;0;0;0;0.004498;0.005527;0;0;0.010124;0;0.005832;0;0;0;0.00844;0;0;0;0;0;0
55;0.001901;0.002948;0.018726;0;0.002934;0.007564;0;0;0.008024;0.005079;0.00706;0;0.006048;0;0.011234;0;0;0.003052;0.007168;0.005099;0;0.006573;0.009644;0.011686;0.009768;0;0.02406;0.029252;0.012084
56;0.001713;0.002969;0.015239;0;0.002957;0.007172;0;0.005271;0;0;0.006922;0;0.005815;0;0;0;0;0.00411;0.006196;0.005716;0;0.007798;0.006828;0.01025;0;0;0.018718;0.024818;0
59;0;0;0;0.032799;0;0;0.004638;0;0.002918;0.002202;0;0.008025;0.003353;0.003726;0;0.005023;0.003533;0;0;0;0;0;0.004262;0.007218;0;0.012392;0;0;0
61;0;0;0;0.039969;0;0;0;0.004147;0.004727;0.003533;0;0;0.002975;0.005864;0.00637;0.008575;0.008464;0;0;0;0;0.005941;0.00486;0.005802;0.006067;0.015128;0.01737;0;0.008338
64;0.002502;0;0;0.038791;0;0;0;0.004229;0.004267;0.003803;0;0.007426;0.002737;0.005208;0.006832;0.005433;0.00471;0;0;0;0;0.005134;0.003075;0.008236;0.006664;0.015431;0;0.018961;0.007255
66;0;0.00376;0;0;0;0;0;0;0.006899;0.005131;0;0.011914;0;0;0.009943;0;0;0.005871;0;0.007597;0;0.006452;0;0;0.010508;0;0.022569;0.026406;0.01107
71;0;0;0;0.052696;0;0.004534;0.004117;0;0;0.003354;0;0.008278;0.004212;0.00597;0.008053;0.008827;0.007795;0;0.004545;0;0.008545;0;0.007017;0.007815;0;0;0.017997;0;0
73;0.002095;0.002902;0.012161;0.054767;0.002357;0.00559;0;0.005632;0;0;0.00628;0.010185;0;0;0.007422;0;0;0.005828;0.005566;0.0053;0;0.006757;0;0;0.007382;0.017956;0;0.016921;0.006395
74;0;0.003358;0;0;0.002738;0.006801;0;0.005626;0;0;0.007014;0;0.004725;0;0;0.013244;0.012186;0.007542;0.006723;0.00697;0.010858;0.007384;0.007495;0;0;0.022818;0.023269;0.025947;0.010678
76;0;0;0.016907;0;0.002063;0.006437;0;0;0.006292;0;0;0.010761;0.004024;0.005498;0;0;0.009716;0;0;0.005934;0;0;0;0;0;0;0;0;0
78;0;0.006619;0;0;0.003619;0;0;0;0;0;0.014864;0.019791;0;0.013506;0;0.022023;0;0;0.011207;0.012785;0.018465;0;0.014606;0.017032;0.016048;0;0.040203;0.045558;0.018228
79;0;0;0;0.116666;0;0;0.011968;0;0;0.007275;0;0;0.009296;0.01112;0;0;0;0;0;0.013576;0.020115;0;0.016142;0;0;0;0;0;0
80;0;0;0.036035;0.128551;0.006332;0;0.012585;0.010813;0.010885;0.008564;0;0;0.008745;0.013106;0.020227;0.023236;0.02129;0.015374;0;0;0;0.015097;0.015757;0.01627;0;0.047165;0;0;0
81;0;0;0;0;0;0;0;0.005865;0.007094;0;0.009818;0;0.004673;0.006367;0;0;0;0.008176;0.007699;0;0;0.007918;0;0.010602;0;0;0;0;0
