;0;2;5;7;9;12;17;18;21;24;27;32;33;38;41;45;47;49;52;53;58;67;69;70;77;82;84;86;87;96;97;98;100;101;103;105;107;111;113
0;0;0.015666;0.004927;0;0.003461;0.003357;0.004541;0;0.005309;0;0;0;0;0;0.00732;0.005299;0.003728;0.002777;0.005531;0.009691;0;0;0.006138;0;0;0.005063;0.002815;0;0.004805;0;0.007368;0;0;0;0;0.004417;0.005225;0.004336;0.005476
2;0.014631;0;0;0.007695;0;0.011847;0;0.014894;0;0.009731;0;0;0;0;0;0;0.00998;0;0;0;0;0.007389;0;0.016714;0;0.020519;0.008885;0.040943;0;0;0.022328;0.012118;0;0;0;0.012298;0;0.011423;0
5;0.00334;0;0;0.002345;0;0.006088;0;0.006363;0;0.003806;0.00601;0.007049;0.010016;0.005067;0.006612;0.006096;0.003753;0;0;0;0.004024;0.00369;0.006066;0.004621;0.004932;0.008209;0.003054;0.012134;0.004389;0;0;0.004664;0.007345;0.007229;0.016869;0;0;0.004493;0.005462
7;0;0.015738;0.004971;0;0.001644;0.003384;0.004848;0;0.003367;0;0;0.005569;0;0.003509;0.006462;0.002871;0;0.003376;0.003872;0.00887;0.002467;0;0.00576;0;0.002456;0.005475;0.002274;0.01183;0.003433;0.00896;0.004774;0.002367;0.004072;0.0047;0;0.002167;0.003618;0.003853;0.003697
9;0.004648;0.017004;0.005009;0;0;0;0;0;0;0;0;0.005482;0.026423;0.003653;0;0;0.00243;0.004921;0.00495;0;0;0.00226;0;0.005318;0;0.005277;0.002207;0.011099;0.003723;0;0.005847;0;0.005188;0;0.011864;0;0.00467;0.003688;0
12;0.006953;0.020769;0;0.002683;0.003364;0;0.005661;0.005234;0.006092;0.003546;0;0;0.033904;0.003903;0.008597;0;0;0.005949;0.006693;0.012558;0;0.002808;0;0.004606;0.00281;0;0;0.015351;0.004498;0;0.00738;0.003067;0.006978;0;0;0.004426;0;0;0.004267
17;0.006694;0;0.007986;0.003653;0;0.004979;0;0;0.007355;0.00618;0.008536;0.008258;0.036072;0;0;0;0.004323;0;0;0.014515;0;0.003686;0;0.008391;0;0.008976;0;0.018194;0;0;0.009153;0;0.00747;0;0;0;0;0.004886;0
18;0;0;0.005872;0;0.003664;0.004465;0;0;0.005826;0.005196;0.008427;0.008;0;0.004999;0.008316;0.005533;0;0.005009;0;0.01269;0;0;0.007041;0;0.003234;0.00951;0.002915;0.016789;0.00479;0.012655;0.0081;0.003914;0;0.008497;0.016785;0;0.007486;0.004047;0.005096
21;0.005813;0;0;0.00391;0.004481;0.004626;0.007895;0.004999;0;0.005586;0.008397;0.006746;0.023887;0;0;0;0.004277;0;0;0.011552;0;0;0.007084;0.006385;0;0.009836;0.002806;0.017205;0.005215;0;0.009081;0.004454;0;0.008134;0;0.005202;0;0.004154;0
24;0;0.012236;0.004376;0;0.003208;0.004383;0.005834;0;0;0;0;0;0;0;0.006807;0.004687;0;0.003723;0;0;0;0;0.005325;0;0;0.004981;0;0;0;0.011811;0.006423;0.002946;0.005704;0;0;0.002443;0.005403;0.003663;0.003416
27;0;0;0.006004;0;0;0;0;0.007122;0.007148;0;0;0;0;0;0;0;0.004272;0;0;0.01292;0;0.003278;0;0;0;0.007083;0.002946;0;0;0;0.010134;0.004163;0;0;0;0.005589;0.007934;0.005415;0.006038
32;0;0.023834;0.006255;0;0;0;0.008151;0.00714;0.005756;0;0;0;0;0.005321;0;0;0;0.005593;0.005776;0;0;0;0;0;0.004824;0.010609;0.004253;0;0.006098;0;0.007791;0.003961;0;0.00862;0;0.005355;0.007789;0;0.005668
33;0;0.061121;0.016344;0;0.011353;0.015404;0.019669;0;0;0;0;0;0;0;0;0.015445;0;0.012885;0;0;0;0;0;0;0;0.017762;0.011811;0;0;0;0;0.010904;0;0;0;0.013773;0.019838;0.013985;0.016105
38;0;0;0.006454;0.003013;0;0.004512;0;0;0;0;0;0.006671;0;0;0;0;0;0;0;0;0;0.002815;0;0;0;0.007277;0;0;0.004342;0.012474;0.006679;0.003366;0.006593;0;0;0;0.006914;0.003764;0.004594
41;0;0;0;0.003885;0;0;0;0.006087;0;0.006527;0;0.010073;0;0;0;0;0.004284;0;0;0.016184;0;0.003359;0;0;0;0.010973;0;0;0;0;0.010706;0.005186;0;0;0;0.006586;0;0.004302;0.007207
45;0.00496;0;0.007082;0.003036;0;0.004212;0;0.003983;0;0.003272;0;0;0.031276;0;0;0;0.003138;0;0;0.01259;0;0.003373;0;0.004361;0;0.007399;0.003371;0.016809;0.004714;0;0.007317;0;0.007468;0.007237;0;0;0.007231;0.003977;0.005421
47;0;0;0.004166;0;0;0.002858;0.005598;0;0.004894;0;0;0.005736;0;0;0;0.003446;0;0.004145;0.005404;0.010481;0.0031;0;0.006294;0;0.003393;0.006781;0.00245;0;0;0.009323;0.004773;0.003201;0.005844;0;0;0.002905;0.005137;0.004181;0.002815
49;0.003436;0;0;0.002173;0;0.004989;0;0.004308;0;0.002988;0.006239;0.006407;0.021509;0;0;0;0.003212;0;0;0.009724;0;0.002117;0.005377;0.004381;0;0.005921;0.003569;0.011832;0;0;0;0;0.007499;0;0.01654;0;0;0.00373;0.00456
52;0.005912;0;0;0.003124;0;0.005198;0.007918;0.004592;0;0.005728;0.008618;0.007377;0.025784;0;0;0;0.003731;0;0;0.012326;0;0.003448;0.008391;0.007165;0;0.008864;0.003473;0.016803;0.004916;0;0;0.004071;0.007663;0.008399;0;0.004239;0;0.00517;0.005544
53;0;0.031733;0.008731;0.006075;0.006004;0.008359;0;0.009772;0.010247;0.008799;0.01263;0.012741;0;0.009103;0;0.009708;0.007009;0.009877;0.009463;0;0;0.006093;0.01233;0;0.006611;0.014276;0.005694;0;0;0.021958;0.013425;0.006818;0.01153;0.01092;0;0;0.01079;0.008133;0
58;0;0;0.005115;0.002717;0;0.004175;0;0.004464;0;0;0;0;0;0;0;0;0.002526;0;0;0;0;0.002219;0;0;0;0.007199;0.002414;0;0;0;0.005238;0.00255;0;0;0;0.003355;0.004879;0.002838;0.004296
67;0;0;0.004818;0;0;0.003593;0;0;0.0038;0;0;0;0;0.00331;0.005557;0.003243;0;0.003546;0.003729;0;0;0;0.00488;0;0.002938;0.006935;0.002236;0;0.003438;0.009007;0.004411;0.002672;0;0;0.012021;0.002937;0.004422;0.003037;0.003571
69;0;0;0.006243;0.004121;0;0;0;0.006019;0.007267;0.004527;0;0;0;0;0;0;0.004406;0.006056;0;0;0;0.003006;0;0;0;0.009646;0;0;0;0;0.007979;0.005062;0;0.008309;0;0;0;0.00501;0.006616
70;0;0.017168;0.005036;0;0.003962;0.005553;0.005841;0;0;0;0;0;0;0;0.008884;0.004856;0;0.003413;0;0;0;0;0.007626;0;0.004665;0.005268;0;0;0;0;0.008736;0.003849;0.006687;0;0;0.004197;0.005149;0.004651;0.00545
77;0.005979;0;0.005839;0.001892;0;0.00381;0;0.004658;0;0;0;0.005988;0;0;0;0;0;0;0;0;0;0.002588;0;0;0;0.006788;0;0.014283;0.004063;0;0.005361;0.003388;0;0;0;0;0.00546;0.003561;0
82;0.004661;0;0.008075;0.003273;0;0;0.007408;0.005492;0;0.003768;0;0.009334;0.032963;0;0;0.007349;0.004306;0.005855;0;0.01531;0.005069;0.004121;0;0.006618;0;0;0.00485;0;0;0;0.010626;0.005712;0;0.007044;0;0;0;0;0.006988
84;0.002497;0;0.003839;0.002315;0;0;0.004963;0.003452;0.004898;0;0.005837;0;0.021073;0;0;0;0.002315;0.004088;0.003844;0.010156;0;0.002219;0;0.00523;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003873;0.002829
86;0;0.048291;0.014724;0;0.007453;0;0;0.012463;0;0;0;0;0;0;0;0;0;0.012325;0;0;0;0;0;0;0;0.023324;0;0;0;0;0.014078;0.008348;0;0.0158;0;0.009513;0;0.010282;0
87;0;0;0.005397;0.002519;0;0;0;0.005147;0;0;0;0;0;0;0;0;0.003295;0.0058;0;0;0;0;0;0;0;0.00849;0;0;0;0;0.006533;0.00323;0;0.006877;0;0;0;0.004408;0.004355
96;0;0;0;0.005893;0;0;0;0.01018;0;0.009687;0;0;0;0;0;0;0.005401;0;0;0.023544;0;0.005063;0;0;0;0;0;0;0;0;0.01319;0;0;0;0;0;0;0.008009;0.008999
97;0.009764;0.030197;0;0;0.00418;0;0.010124;0.006525;0.008387;0.005988;0.012031;0.009417;0;0.005013;0.010917;0.005717;0.003537;0;0;0.016067;0.004593;0.003527;0.009351;0;0;0.013384;0;0.017089;0;0;0;0.004575;0.008493;0;0.02054;0.005583;0;0.005871;0.006045
98;0.005382;0.019129;0;0.002715;0;0.004207;0;0.004999;0.005536;0.003669;0.006909;0.006723;0.029126;0.00361;0.00698;0.004555;0.002372;0;0;0.010229;0.003116;0.002037;0.006238;0.006212;0.003613;0.005856;0.002209;0.010688;0.00344;0;0.005759;0;0.006116;0;0.01318;0;0.005723;0.004229;0
100;0;0;0.007037;0.003808;0.004089;0;0.007096;0.00673;0;0.004365;0;0;0;0.005233;0;0.006347;0;0;0;0.013934;0;0.003307;0;0;0.004529;0.010206;0.003955;0.019126;0.005687;0;0.009132;0;0;0;0;0;0.008178;0.004797;0.006421
101;0;0.024446;0.007202;0.004047;0.004165;0.005315;0;0.006945;0.006516;0;0;0;0;0;0;0.006097;0.004396;0;0.007504;0.013176;0.004959;0.003823;0.007999;0;0;0.008736;0;0;0.005571;0;0;0.004517;0.006919;0;0;0.004593;0.008466;0.006224;0.005638
103;0;0;0;0.006575;0;0;0;0;0;0;0;0;0;0;0;0;0.007441;0;0;0;0;0.006766;0;0;0;0.02222;0;0;0;0;0;0.0081;0;0;0;0.009543;0;0.009538;0.010331
105;0.00544;0.020148;0.006858;0.002428;0;0.00341;0;0.004916;0.00573;0.003608;0;0.00705;0.034268;0.003428;0;0;0.00343;0;0.0055;0.010441;0.003564;0.00253;0.006514;0;0.003278;0.00829;0;0.013738;0;0;0;0;0;0;0;0;0;0.004024;0
107;0.005657;0;0;0.002512;0.003874;0;0;0.005342;0;0.004813;0;0.008721;0.036863;0.005334;0;0;0.003509;0;0;0.011586;0.004377;0;0.007937;0.006593;0.004908;0.011565;0;0.017421;0;0;0;0.004664;0.008542;0;0;0;0;0.006038;0
111;0.005238;0.019324;0.00526;0;0.003512;0.004825;0.005984;0.004865;0.006028;0.004502;0.007227;0;0.028786;0.004136;0;0.004696;0.003239;0.004694;0.005781;0.00936;0.00353;0.002345;0.005962;0.005873;0.003466;0.008096;0.002985;0.013486;0.00456;0.010045;0.006748;0.002655;0.006444;0.006002;0.014637;0.0034;0.006772;0;0.004909
113;0.006683;0.022608;0.006824;0.003508;0;0;0;0.004833;0;0.004771;0.009208;0.006781;0.034342;0.004426;0.008253;0.005235;0.003014;0;0;0;0.004399;0;0.007619;0;0.003801;0.008916;0.003017;0.015163;0.004359;0;0;0;0.00687;0;0.016533;0;0.006953;0.004485;0
